text,label
"Government launches nationwide healthcare improvement scheme",REAL
"Scientists discover renewable energy source with higher efficiency",REAL
"International climate summit discusses carbon reduction goals",REAL
"Researchers develop AI system for early cancer detection",REAL
"Stock market reaches record high after policy reforms",REAL
"Education ministry introduces digital learning initiative",REAL
"New metro rail project reduces traffic congestion in major cities",REAL
"University develops affordable water purification technology",REAL
"Medical researchers announce breakthrough vaccine development",REAL
"India wins international cricket series after final match",REAL
"Government approves employment scheme for graduates",REAL
"Scientists develop low-cost battery technology",REAL
"New airport project boosts regional development",REAL
"Researchers discover safer treatment for diabetes",REAL
"Space agency successfully launches weather satellite",REAL
"City introduces smart traffic management system",REAL
"Farmers receive financial support under new policy",REAL
"Scientists discover new species during ocean exploration",REAL
"Technology company launches advanced AI assistant",REAL
"Healthcare ministry announces free vaccination program",REAL
"Researchers improve solar panel efficiency",REAL
"National sports team wins international championship",REAL
"Government introduces digital payment awareness campaign",REAL
"University opens new robotics research center",REAL
"Scientists create eco-friendly plastic alternative",REAL
"Aliens discovered living under the Pacific Ocean",FAKE
"Scientists confirm dinosaurs are alive in hidden forest",FAKE
"Magic drink cures every disease instantly",FAKE
"Moon expected to disappear completely next month",FAKE
"Government secretly replacing citizens with robots",FAKE
"Drinking salt water permanently increases intelligence",FAKE
"Time traveler predicts world ending next week",FAKE
"Fake currency notes falling from clouds shocks citizens",FAKE
"Invisible humans discovered in secret laboratory",FAKE
"Humans can survive forever without food",FAKE
"Celebrity claims earth is shaped like a triangle",FAKE
"Secret machine controls weather around the world",FAKE
"Flying cars available free in hidden city",FAKE
"Ancient dragon discovered sleeping inside volcano",FAKE
"Scientists confirm humans can breathe underwater naturally",FAKE
"Aliens invade major cities during midnight",FAKE
"Magic stone increases lifespan to 300 years",FAKE
"Researchers discover portal to another universe",FAKE
"Government plans to ban sleeping after midnight",FAKE
"Dinosaurs spotted near mountain village",FAKE
"Scientists invent machine to read human thoughts instantly",FAKE
"Ghost city discovered floating above ocean",FAKE
"Humans can become invisible using special juice",FAKE
